time;step;angle;posX;posY;posZ;fuel;brake_input;throttle;vel
1774875959.8045728;1;-1.201882637520331;111.01455955114216;245.34462521897512;23.393015295499936;0.5818125611416735;0.0;0.0034000001847743987;[-0.0411212220788002, 0.01114409975707531, -0.03153732419013977]
1774875959.8077238;2;-1.1528148007895433;111.01367352064699;245.34462986357357;23.39212691830471;0.5851762655441135;0.0;0.006700000166893006;[-0.06568418443202972, -0.015058157034218311, -0.07483240216970444]
1774875959.8218396;3;-1.0977638105898577;111.01242939243093;245.34456698239228;23.39079403539654;0.5884726952870002;0.0;0.010000000149011612;[-0.08139856159687042, 0.014462187886238098, -0.0800180658698082]
1774875959.8389084;4;-1.030711498936145;111.0110402922146;245.34508876584005;23.389398408005945;0.5917031958622918;0.0;0.013400000333786011;[-0.08578404784202576, 0.02936350181698799, -0.09841737896203995]
1774875959.8550527;5;-0.9750258469827651;111.00949615833815;245.34526940296928;23.387660350766964;0.5948690857543524;0.0;0.016700000315904618;[-0.10205391049385071, 0.005820217542350292, -0.09240005165338516]
1774875959.8714864;6;-0.9303129007749836;111.00761886325199;245.34556645937846;23.386095854104497;0.5979716570287708;0.0;0.020000000298023225;[-0.12324214726686478, 0.02471838891506195, -0.10089153796434402]
1774875959.8878834;7;-0.8955021324177304;111.00532997678965;245.345844245865;23.384323861799203;0.601012175944332;0.0;0.023400000482797625;[-0.13788048923015594, 0.013743937015533447, -0.09667910635471344]
1774875959.904975;8;-0.8743443249619665;111.00319068972021;245.34599956507736;23.382776145241223;0.6039918834151672;0.0;0.026700000464916232;[-0.1348762959241867, 0.036728061735630035, -0.09061059355735779]
1774875959.9205496;9;-0.8555574460208838;111.00049964548089;245.34703090810217;23.381153043359518;0.6069119955026445;0.0;0.03000000044703484;[-0.18127228319644928, 0.06061785668134689, -0.09669899940490723]
1774875959.9911094;10;-0.833211078146735;110.99754178943112;245.3475074484013;23.379583624540828;0.6097737040177755;0.0;0.033400000631809236;[-0.1628693789243698, 0.006631913594901562, -0.08636573702096939]
1774875960.0088432;11;-0.7982980118264605;110.99163054372184;245.34884363267338;23.376498170546256;0.6153265587483006;0.0;0.04000000059604645;[-0.19979968667030334, 0.047391779720783234, -0.08112963289022446]
1774875960.0254035;12;-0.7732847444939599;110.98822814715095;245.3487601900997;23.374983517918736;0.6180199712516009;0.0;0.04340000078082085;[-0.21020787954330444, -0.025933055207133293, -0.09589638561010361]
1774875960.0436814;13;-0.7591017795758546;110.98452989920042;245.34892742503143;23.373660370823927;0.6206595136953903;0.0;0.04670000076293945;[-0.2285645753145218, 0.023882506415247917, -0.06383637338876724]
1774875960.0589364;14;-0.746662577387578;110.98076229193248;245.34912141168024;23.372969097050373;0.6232462632869088;0.0;0.05000000074505806;[-0.24027758836746216, 0.013928933069109917, -0.03303572162985802]
1774875960.0758674;15;-0.7579482325847511;110.97623402206227;245.349249479812;23.37218326778384;0.6257812758065328;0.0;0.05340000092983246;[-0.28181302547454834, 6.550017860718071e-05, -0.04599829018115997]
1774875960.0927775;16;-0.7634103281990233;110.9715948025696;245.34936760964047;23.371996812478756;0.6282655858659201;0.0;0.056700000911951064;[-0.28363507986068726, 0.021113093942403793, 0.014837692491710186]
1774875960.108637;17;-0.7721071035246689;110.96654528798535;245.3501708857948;23.372079729335383;0.6307002073153171;0.0;0.06000000089406967;[-0.32896795868873596, 0.06666144728660583, 0.0011798953637480736]
1774875960.1252766;18;-0.7840628198481779;110.96075547253713;245.35082876076922;23.372446074907202;0.6330861338799232;0.0;0.06340000107884407;[-0.34997332096099854, 0.014524723403155804, 0.04134581610560417]
1774875960.141915;19;-0.7852140188524765;110.95462240232155;245.35127506652498;23.372890277125407;0.6354243393428569;0.0;0.06670000106096267;[-0.39577174186706543, 0.04226367548108101, 0.009578172117471695]
1774875960.2070684;20;-0.785708283624551;110.94784023286775;245.35209596331697;23.373354123177705;0.6377157779295812;0.0;0.07000000104308128;[-0.42121225595474243, 0.05094020068645477, 0.05284920334815979]
1774875960.2115757;21;-0.7417577629589559;110.92437414918095;245.3525315328443;23.374105733877514;0.6443187519120538;0.0;0.0800000011920929;[-0.5113463997840881, 0.00437740096822381, 0.003870700253173709]
1774875960.2285929;22;-0.7241781138899726;110.91538557969034;245.3527789797954;23.374161146348342;0.6464322902636637;0.0;0.0834000013768673;[-0.5403082370758057, 0.005419712979346514, 0.003729907562956214]
1774875960.2446659;23;-0.7123819240881937;110.90632343944162;245.35245220761863;23.374199430196313;0.6485035545755409;0.0;0.08670000135898591;[-0.5662989616394043, -0.0316915325820446, -0.003934453707188368]
1774875960.2617712;24;-0.7077504468246595;110.89653263799846;245.35261209803866;23.374223547994916;0.6505333900959132;0.0;0.09000000134110452;[-0.6175100803375244, 0.056004878133535385, 0.004954388365149498]
1774875960.27881;25;-0.6999642936441288;110.88579365238547;245.35378193086945;23.374190911454207;0.6525226253746889;0.0;0.09340000152587892;[-0.6448286175727844, 0.07148176431655884, -0.007012796122580767]
1774875960.294829;26;-0.6900186971181361;110.87483939807862;245.35501216480043;23.373959639196983;0.6544720722872899;0.0;0.09670000150799753;[-0.6822903156280518, 0.07614375650882721, -0.024799328297376633]
1774875960.3115714;27;-0.6789731123952982;110.86322215385735;245.35643007815816;23.373476153617958;0.6563825263489896;0.0;0.10000000149011613;[-0.7238421440124512, 0.09721086174249649, -0.022493261843919754]
1774875960.3289864;28;-0.6529036597107021;110.85052624158561;245.35839099809527;23.373212327162037;0.6582547673944669;0.0;0.10340000167489054;[-0.7710541486740112, 0.1359749436378479, -0.011069652624428272]
1774875960.3450315;29;-0.6393937475252839;110.83752477075905;245.36049104994163;23.37317372806865;0.6600895595399521;0.0;0.10670000165700914;[-0.8036948442459106, 0.10159227252006531, 0.003499808721244335]
1774875960.4119012;30;-0.6352249218614381;110.8238266557455;245.36199318186846;23.37327004072722;0.6618876514831212;0.0;0.11000000163912775;[-0.8589456081390381, 0.10036131739616394, 0.012435084208846092]
1774875960.4139054;31;-0.6052452053225583;110.77777180820704;245.36541425864561;23.373275416786782;0.6670689921319629;0.0;0.12000000178813937;[-0.9742745161056519, 0.026384754106402397, -0.019621174782514572]
1774875960.43008;32;-0.6097288815904066;110.76070309616625;245.3657017078076;23.37260914465878;0.6687274768100724;0.0;0.12340000197291377;[-1.0290724039077759, 0.013459892012178898, -0.04860489442944527]
1774875960.4465945;33;-0.6086508808875689;110.743357533589;245.36642597574973;23.371834267338272;0.6703527867844606;0.0;0.1267000019550324;[-1.069574236869812, 0.059036191552877426, -0.04630187526345253]
1774875960.4641402;34;-0.6107764339349051;110.72526704892516;245.3676103425678;23.371210280049127;0.6719455852284979;0.0;0.130000001937151;[-1.1224461793899536, 0.10171108692884445, -0.019518787041306496]
1774875960.4804456;35;-0.5917572681281621;110.70576690882444;245.36955779709388;23.370895964792;0.6735065223608871;0.0;0.1334000021219254;[-1.1746593713760376, 0.12499618530273438, -0.017341243103146553]
1774875960.497807;36;-0.5840047727530663;110.68594819121063;245.3717751770746;23.371094575108145;0.6750362352425423;0.0;0.136700002104044;[-1.2177910804748535, 0.12373150885105133, 0.0218952763825655]
1774875960.514304;37;-0.5817680759475123;110.66538140177727;245.37395477248356;23.371341458463576;0.6765353480278016;0.0;0.14000000208616262;[-1.2757779359817505, 0.15531979501247406, 0.007140100933611393]
1774875960.5308614;38;-0.5752753422511112;110.6433716956526;245.3764968374744;23.37125005798589;0.6780044727372572;0.0;0.14340000227093702;[-1.3095970153808594, 0.13038410246372223, -0.02364300936460495]
1774875960.546911;39;-0.5778589341515831;110.62126130796969;245.37839151581284;23.37082408432616;0.6794442089532334;0.0;0.14670000225305563;[-1.3698123693466187, 0.08790048211812973, -0.03334280848503113]
1774875960.6148057;40;-0.5927672523547264;110.59830816276371;245.37971838517115;23.370149141177535;0.680855144107874;0.0;0.15000000223517423;[-1.4173662662506104, 0.10670800507068634, -0.033636972308158875]
1774875960.6173112;41;-0.5711101985489104;110.52307623438537;245.38582883577328;23.36982606962556;0.6849208453643207;0.0;0.16000000238418585;[-1.5728814601898193, 0.10004574805498123, -0.03182537108659744]
1774875960.6341593;42;-0.5744326534572827;110.49576450325549;245.38805332337506;23.369143239047844;0.6862222213898141;0.0;0.16340000256896026;[-1.6338868141174316, 0.1453755646944046, -0.03218613564968109]
1774875960.6497452;43;-0.5677042540442911;110.4683819822967;245.39072160469368;23.368818248738535;0.6874975629671163;0.0;0.16670000255107886;[-1.6924644708633423, 0.17925629019737244, -0.0248316191136837]
1774875960.6668508;44;-0.5664246884106701;110.43993454799056;245.39373269164935;23.368322908179834;0.6887473903922006;0.0;0.17000000253319747;[-1.7484934329986572, 0.18460619449615479, -0.005267677363008261]
1774875960.684089;45;-0.5531371318274508;110.40980277955532;245.39689797046594;23.368493422633037;0.6899722140283792;0.0;0.17340000271797187;[-1.7931925058364868, 0.17519862949848175, -0.00861375778913498]
1774875960.7003586;46;-0.555045514384491;110.37966166436672;245.40007286379114;23.36802484927466;0.6911725337916482;0.0;0.17670000270009048;[-1.8638324737548828, 0.22109220921993256, -0.0351870022714138]
1774875960.716793;47;-0.5458910695277117;110.34850784763694;245.40342518524267;23.36766696360428;0.6923488393771822;0.0;0.1800000026822091;[-1.9045400619506836, 0.18354788422584534, -0.01584674045443535]
1774875960.7348278;48;-0.5470638022041021;110.31537433341146;245.40677784080617;23.367122206254862;0.6935016111657627;0.0;0.1834000028669835;[-1.9749315977096558, 0.1968565583229065, -0.03596144914627075]
1774875960.7503374;49;-0.5364861579788894;110.28251802921295;245.41008657380007;23.366836793284165;0.6946313196604006;0.0;0.1867000028491021;[-2.025352716445923, 0.21225139498710632, -0.007502180524170399]
1774875960.8178942;50;-0.5316300826761525;110.24852401763201;245.41365414089523;23.366643685934832;0.6957384257622685;0.0;0.1900000028312207;[-2.09965181350708, 0.22322311997413635, -0.033400166779756546]
1774875960.8204546;51;-0.5310200055663589;110.1397329904139;245.42561644967645;23.365279130113777;0.6989286048892043;0.0;0.20000000298023232;[-2.270878553390503, 0.2458154708147049, -0.030602537095546722]
1774875960.8379903;52;-0.521101282472673;110.1005910076201;245.43003510311246;23.365044048201526;0.6999497316680586;0.0;0.20340000316500673;[-2.3208560943603516, 0.2553658187389374, -0.041394781321287155]
1774875960.8546424;53;-0.5252243645090368;110.0616299174726;245.4342901483178;23.364459792035632;0.7009504272138372;0.0;0.20670000314712533;[-2.3870677947998047, 0.30702656507492065, -0.009519001469016075]
1774875960.8707902;54;-0.5173630657224755;110.02183541283011;245.43976249545813;23.36425569751009;0.7019310997391714;0.0;0.21000000312924394;[-2.452845573425293, 0.3090679347515106, -0.039375189691782]
1774875960.887767;55;-0.5044088070543111;109.9795677177608;245.4446520525962;23.36377927821013;0.7028921498637307;0.0;0.21340000331401834;[-2.5035738945007324, 0.25753217935562134, -0.03154760226607323]
1774875960.903784;56;-0.5207419218718624;109.93759201467037;245.44870892399922;23.36299391335342;0.7038339698923809;0.0;0.21670000329613695;[-2.5709424018859863, 0.29282477498054504, -0.031049450859427452]
1774875960.9207463;57;-0.5085250215190694;109.89447743073106;245.45479887304828;23.362764404679183;0.7047569439841571;0.0;0.22000000327825556;[-2.6601569652557373, 0.40346187353134155, -0.015337121672928333]
1774875960.9370658;58;-0.4975148217331513;109.84894618019462;245.46051796525717;23.362064373563044;0.7056614492258335;0.0;0.22340000346302996;[-2.695695638656616, 0.2387561798095703, -0.06168268993496895]
1774875960.9539413;59;-0.5157452744276194;109.80390001088381;245.46436485135928;23.36130216292804;0.706547854839585;0.0;0.22670000344514857;[-2.76517653465271, 0.29306748509407043, -0.04245533049106598]
1774875961.0212288;60;-0.5031433788765238;109.7574534676969;245.47093227365986;23.360767525678966;0.7074165224053044;0.0;0.23000000342726717;[-2.8476505279541016, 0.4551277458667755, -0.027202058583498]
1774875961.023388;61;-0.5090610739992136;109.61140564829111;245.4888059059158;23.358830430865055;0.7099196091227159;0.0;0.2400000035762788;[-3.0021936893463135, 0.4385742247104645, -0.04025467112660408]
1774875961.0399396;62;-0.5086315674354928;109.559993237257;245.49581990251318;23.358169263927266;0.7107208012214298;0.0;0.2434000037610532;[-3.0575757026672363, 0.3622629642486572, -0.04659627377986908]
1774875961.0569267;63;-0.5315999992533846;109.50905024260283;245.50171381607652;23.357397661427967;0.7115059589614947;0.0;0.2467000037431718;[-3.108365058898926, 0.38001498579978943, -0.03860699012875557]
1774875961.0732822;64;-0.5360927815019813;109.4574178531766;245.50835933862254;23.35670240217587;0.7122754024916581;0.0;0.2500000037252904;[-3.158607006072998, 0.4293758273124695, -0.03309708461165428]
1774875961.0899026;65;-0.5353512015567995;109.40296728909016;245.51598088350147;23.355928227014374;0.7130294462050957;0.0;0.2534000039100648;[-3.2367331981658936, 0.4544967710971832, -0.0398176833987236]
1774875961.105922;66;-0.540127673919003;109.34907367825508;245.5229452974163;23.35528915951727;0.7137683979228676;0.0;0.2567000038921834;[-3.2896957397460938, 0.3964516818523407, -0.035608381032943726]
1774875961.123175;67;-0.5467144099409175;109.29424801841378;245.52997207501903;23.354321310005616;0.7144925589769648;0.0;0.260000003874302;[-3.3634562492370605, 0.4957793354988098, -0.046223774552345276]
1774875961.1397378;68;-0.5319164600431471;109.2366995960474;245.5388270933181;23.353865384240635;0.7152022253572238;0.0;0.2634000040590764;[-3.4062998294830322, 0.4778299331665039, -0.022640958428382874]
1774875961.1557477;69;-0.5451376698779044;109.18004615604877;245.54576241364703;23.352942636003718;0.7158976868129006;0.0;0.266700004041195;[-3.4718708992004395, 0.423431932926178, -0.09048733115196228]
1774875961.222128;70;-0.5392347182788663;109.12230027467012;245.55405263137072;23.352190091565717;0.7165792269052559;0.0;0.2700000040233136;[-3.515925168991089, 0.5468999743461609, -0.020324593409895897]
1774875961.2256873;71;-0.5425814245185473;108.94215232878923;245.5794228790328;23.34980791376438;0.7185430754626951;0.0;0.2800000041723252;[-3.68673038482666, 0.5164573192596436, -0.05504612997174263]
1774875961.242187;72;-0.5384970706893154;108.878741748631;245.5893238959834;23.348801590735093;0.7191716584437994;0.0;0.28340000435709956;[-3.7510223388671875, 0.6032283306121826, -0.03504668176174164]
