"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"40352.2360095";"Voltagem do modulo OBD";"13.9";"V";"-22.58914747";"-43.2851445";
"40352.5263631";"Valor da carga calculada do motor";"24.705882352941178";"%";"-22.58914747";"-43.2851445";
"40352.6156006";"Temperatura do líquido de 
arrefecimento do motor";"85";"℃";"-22.58914747";"-43.2851445";
"40352.690163";"Ajuste de combustível % a curto 
prazo - Banco 1";"-7.8125";"%";"-22.58914747";"-43.2851445";
"40352.77903";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";"-22.58914747";"-43.2851445";
"40352.8677818";"Boost calculado";"-0.52325";"bar";"-22.58914747";"-43.2851445";
"40352.8677818";"Pressão absoluta do coletor de 
admissão";"49";"kPa";"-22.58914747";"-43.2851445";
"40352.9587171";"Consumo instantâneo de combustível (l/h)";"1.3892856405124985";"L/h";"-22.58914747";"-43.2851445";
"40352.9587171";"Potência instantânea do motor (baseado no consumo de combustível)";"5.435160368078583";"hp";"-22.58914747";"-43.2851445";
"40352.9587171";"RPM do motor";"657";"rpm";"-22.58914747";"-43.2851445";
"40352.9587171";"RPM do motor x1000";"0.7";"rpm";"-22.58914747";"-43.2851445";
"40353.0105886";"Voltagem do modulo OBD";"13.9";"V";"-22.58914747";"-43.2851445";
"40353.2701578";"Valor da carga calculada do motor";"24.705882352941178";"%";"-22.58914747";"-43.2851445";
"40353.3708262";"Temperatura do líquido de 
arrefecimento do motor";"85";"℃";"-22.58914747";"-43.2851445";
"40353.4587197";"Ajuste de combustível % a curto 
prazo - Banco 1";"-9.375";"%";"-22.58914747";"-43.2851445";
"40353.5477502";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";"-22.58914747";"-43.2851445";
"40353.6125511";"Voltagem do modulo OBD";"13.9";"V";"-22.58914747";"-43.2851445";
"40353.8941406";"Valor da carga calculada do motor";"25.098039215686274";"%";"-22.58914684";"-43.2851461";
"40353.9819427";"Ajuste de combustível % a curto 
prazo - Banco 1";"-7.03125";"%";"-22.58914684";"-43.2851461";
"40354.0700898";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";"-22.58914684";"-43.2851461";
"40354.1233141";"Voltagem do modulo OBD";"14";"V";"-22.58914684";"-43.2851461";
"40354.2912327";"Valor da carga calculada do motor";"24.705882352941178";"%";"-22.58914684";"-43.2851461";
"40354.3795378";"Temperatura do líquido de 
arrefecimento do motor";"85";"℃";"-22.58914684";"-43.2851461";
"40354.4435758";"Ajuste de combustível % a curto 
prazo - Banco 1";"-6.25";"%";"-22.58914684";"-43.2851461";
"40354.4984196";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";"-22.58914684";"-43.2851461";
"40354.5647225";"Voltagem do modulo OBD";"13.7";"V";"-22.58914684";"-43.2851461";
"40354.7314942";"Valor da carga calculada do motor";"23.137254901960784";"%";"-22.58914684";"-43.2851461";
"40354.788235";"Ajuste de combustível % a curto 
prazo - Banco 1";"-4.6875";"%";"-22.58914684";"-43.2851461";
"40354.8433356";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";"-22.58914684";"-43.2851461";
