"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"41288.4585663";"Voltagem do modulo OBD";"13.8";"V";"-22.58914118";"-43.28512286";
"41288.7458343";"Valor da carga calculada do motor";"24.705882352941178";"%";"-22.58914118";"-43.28512286";
"41288.8350384";"Temperatura do líquido de 
arrefecimento do motor";"86";"℃";"-22.58914118";"-43.28512286";
"41288.9265887";"Ajuste de combustível % a curto 
prazo - Banco 1";"-9.375";"%";"-22.58914118";"-43.28512286";
"41289.0147164";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";"-22.58914118";"-43.28512286";
"41289.1014335";"Boost calculado";"-0.54325";"bar";"-22.58913927";"-43.28512196";
"41289.1014335";"Pressão absoluta do coletor de 
admissão";"47";"kPa";"-22.58913927";"-43.28512196";
"41289.1674849";"Voltagem do modulo OBD";"13.8";"V";"-22.58913927";"-43.28512196";
"41289.4319634";"Valor da carga calculada do motor";"31.372549019607842";"%";"-22.58913927";"-43.28512196";
"41289.5223732";"Temperatura do líquido de 
arrefecimento do motor";"86";"℃";"-22.58913927";"-43.28512196";
"41289.6099694";"Ajuste de combustível % a curto 
prazo - Banco 1";"-10.9375";"%";"-22.58913927";"-43.28512196";
"41289.698276";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";"-22.58913927";"-43.28512196";
"41289.7640621";"Voltagem do modulo OBD";"13.8";"V";"-22.58913927";"-43.28512196";
"41290.0299645";"Valor da carga calculada do motor";"35.68627450980392";"%";"-22.58913927";"-43.28512196";
"41290.1190339";"Ajuste de combustível % a curto 
prazo - Banco 1";"-6.25";"%";"-22.58913927";"-43.28512196";
"41290.1976858";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";"-22.58913927";"-43.28512196";
"41290.2667757";"Voltagem do modulo OBD";"14";"V";"-22.58913927";"-43.28512196";
"41290.4231479";"Valor da carga calculada do motor";"32.94117647058823";"%";"-22.58913856";"-43.2851229";
"41290.5125203";"Temperatura do líquido de 
arrefecimento do motor";"86";"℃";"-22.58913856";"-43.2851229";
"41290.5767553";"Ajuste de combustível % a curto 
prazo - Banco 1";"0";"%";"-22.58913856";"-43.2851229";
"41290.6295729";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";"-22.58913856";"-43.2851229";
"41290.6830219";"Voltagem do modulo OBD";"14";"V";"-22.58913856";"-43.2851229";
"41290.9149013";"Valor da carga calculada do motor";"41.568627450980394";"%";"-22.58913856";"-43.2851229";
"41290.9650548";"Ajuste de combustível % a curto 
prazo - Banco 1";"3.90625";"%";"-22.58913856";"-43.2851229";
"41291.0661183";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";"-22.58913856";"-43.2851229";
"41291.1198906";"Voltagem do modulo OBD";"13.9";"V";"-22.58913856";"-43.2851229";
"41291.2908785";"Valor da carga calculada do motor";"42.745098039215684";"%";"-22.58913856";"-43.2851229";
"41291.3447668";"Temperatura do líquido de 
arrefecimento do motor";"86";"℃";"-22.58913856";"-43.2851229";
"41291.409714";"Ajuste de combustível % a curto 
prazo - Banco 1";"-3.125";"%";"-22.58913856";"-43.2851229";
"41291.460841";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";"-22.58913856";"-43.2851229";
"41291.5167924";"Voltagem do modulo OBD";"14";"V";"-22.58913856";"-43.2851229";
"41291.6963214";"Valor da carga calculada do motor";"31.764705882352942";"%";"-22.58913775";"-43.28512149";
"41291.7496073";"Ajuste de combustível % a curto 
prazo - Banco 1";"-7.03125";"%";"-22.58913775";"-43.28512149";
"41291.8005779";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";"-22.58913775";"-43.28512149";
"41291.8667848";"Voltagem do modulo OBD";"13.9";"V";"-22.58913775";"-43.28512149";
"41292.0225712";"Valor da carga calculada do motor";"31.764705882352942";"%";"-22.58913775";"-43.28512149";
"41292.0858491";"Temperatura do líquido de 
arrefecimento do motor";"86";"℃";"-22.58913775";"-43.28512149";
"41292.1497901";"Ajuste de combustível % a curto 
prazo - Banco 1";"-6.25";"%";"-22.58913775";"-43.28512149";
"41292.2007845";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";"-22.58913775";"-43.28512149";
"41292.2551915";"Voltagem do modulo OBD";"14";"V";"-22.58913775";"-43.28512149";
"41292.4339567";"Valor da carga calculada do motor";"32.549019607843135";"%";"-22.58913775";"-43.28512149";
"41292.4909166";"Ajuste de combustível % a curto 
prazo - Banco 1";"-1.5625";"%";"-22.58913775";"-43.28512149";
"41292.5457892";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";"-22.58913775";"-43.28512149";
"41292.6106389";"Voltagem do modulo OBD";"14";"V";"-22.58913775";"-43.28512149";
"41292.7771689";"Valor da carga calculada do motor";"30.980392156862745";"%";"-22.58913775";"-43.28512149";
"41292.8443252";"Temperatura do líquido de 
arrefecimento do motor";"85";"℃";"-22.58913775";"-43.28512149";
