"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"42079.1529396";"Altitude (GPS)";"22.85003662109375";"m";"-22.58916152";"-43.28516134";
"42079.1529396";"Velocidade (GPS)";"1.3679999828338623";"km/h";"-22.58916152";"-43.28516134";
"42080.3776487";"Altitude (GPS)";"16.33184814453125";"m";"-22.5891503";"-43.28515109";
"42080.3776487";"Velocidade (GPS)";"1.5119999527931214";"km/h";"-22.5891503";"-43.28515109";
"42080.3776487";"Velocidade média (GPS)";"1.5119999527931214";"km/h";"-22.5891503";"-43.28515109";
"42081.6315862";"Altitude (GPS)";"18.1290283203125";"m";"-22.58913254";"-43.28514757";
"42081.6315862";"Velocidade (GPS)";"4.428000068664551";"km/h";"-22.58913254";"-43.28514757";
"42081.6315862";"Velocidade média (GPS)";"2.9873560646364514";"km/h";"-22.58913254";"-43.28514757";
"42082.6928585";"Voltagem do modulo OBD";"13.9";"V";"-22.58913254";"-43.28514757";
"42082.9564278";"Valor da carga calculada do motor";"23.137254901960784";"%";"-22.58913254";"-43.28514757";
"42083.0487475";"Temperatura do líquido de 
arrefecimento do motor";"85";"℃";"-22.58913254";"-43.28514757";
"42083.1407707";"Ajuste de combustível % a curto 
prazo - Banco 1";"3.125";"%";"-22.58913254";"-43.28514757";
"42083.2182985";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";"-22.58913254";"-43.28514757";
"42083.3090633";"Boost calculado";"-0.49325";"bar";"-22.58913254";"-43.28514757";
"42083.3090633";"Pressão absoluta do coletor de 
admissão";"52";"kPa";"-22.58913254";"-43.28514757";
"42083.3723059";"Voltagem do modulo OBD";"13.9";"V";"-22.58913254";"-43.28514757";
"42083.37375";"Altitude (GPS)";"18.99285888671875";"m";"-22.58913577";"-43.28518417";
"42083.37375";"Velocidade (GPS)";"15.119999313354493";"km/h";"-22.58913577";"-43.28518417";
"42083.37375";"Velocidade média (GPS)";"7.995191647297466";"km/h";"-22.58913577";"-43.28518417";
"42083.6446923";"Valor da carga calculada do motor";"27.84313725490196";"%";"-22.58913577";"-43.28518417";
"42083.7364655";"Temperatura do líquido de 
arrefecimento do motor";"84";"℃";"-22.58913577";"-43.28518417";
"42083.8171247";"Ajuste de combustível % a curto 
prazo - Banco 1";"3.90625";"%";"-22.58913577";"-43.28518417";
"42083.9055215";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";"-22.58913577";"-43.28518417";
"42083.9709575";"Voltagem do modulo OBD";"13.9";"V";"-22.58913577";"-43.28518417";
"42084.2321812";"Valor da carga calculada do motor";"14.509803921568627";"%";"-22.58913577";"-43.28518417";
"42084.3238432";"Ajuste de combustível % a curto 
prazo - Banco 1";"-1.5625";"%";"-22.58913577";"-43.28518417";
"42084.415467";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";"-22.58913577";"-43.28518417";
"42084.4677586";"Voltagem do modulo OBD";"13.9";"V";"-22.58913577";"-43.28518417";
"42084.6279273";"Altitude (GPS)";"17.49749755859375";"m";"-22.5891558";"-43.28525897";
"42084.6279273";"Velocidade (GPS)";"15.263999176025392";"km/h";"-22.5891558";"-43.28525897";
"42084.6279273";"Velocidade média (GPS)";"9.66022397921527";"km/h";"-22.5891558";"-43.28525897";
"42084.6441921";"Valor da carga calculada do motor";"12.549019607843137";"%";"-22.5891558";"-43.28525897";
"42084.7323823";"Temperatura do líquido de 
arrefecimento do motor";"84";"℃";"-22.5891558";"-43.28525897";
"42084.7851426";"Ajuste de combustível % a curto 
prazo - Banco 1";"-4.6875";"%";"-22.5891558";"-43.28525897";
"42084.8603048";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";"-22.5891558";"-43.28525897";
"42084.9206546";"Voltagem do modulo OBD";"13.9";"V";"-22.5891558";"-43.28525897";
"42085.0916978";"Valor da carga calculada do motor";"11.372549019607844";"%";"-22.5891558";"-43.28525897";
"42085.1426736";"Ajuste de combustível % a curto 
prazo - Banco 1";"-2.34375";"%";"-22.5891558";"-43.28525897";
"42085.2037647";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";"-22.5891558";"-43.28525897";
"42085.2580449";"Voltagem do modulo OBD";"13.9";"V";"-22.5891558";"-43.28525897";
"42085.4267571";"Valor da carga calculada do motor";"24.705882352941178";"%";"-22.5891558";"-43.28525897";
"42085.4792394";"Temperatura do líquido de 
arrefecimento do motor";"84";"℃";"-22.5891558";"-43.28525897";
"42085.540349";"Ajuste de combustível % a curto 
prazo - Banco 1";"-3.125";"%";"-22.5891558";"-43.28525897";
"42085.596125";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";"-22.5891558";"-43.28525897";
"42085.6493692";"Voltagem do modulo OBD";"13.9";"V";"-22.5891558";"-43.28525897";
"42085.827359";"Valor da carga calculada do motor";"36.86274509803921";"%";"-22.5891558";"-43.28525897";
"42085.8798049";"Ajuste de combustível % a curto 
prazo - Banco 1";"-7.03125";"%";"-22.5891558";"-43.28525897";
"42085.8870123";"Altitude (GPS)";"17.167236328125";"m";"-22.58915318";"-43.2853246";
"42085.8870123";"Velocidade (GPS)";"18.540000343322756";"km/h";"-22.58915318";"-43.2853246";
"42085.8870123";"Velocidade média (GPS)";"11.320538371659948";"km/h";"-22.58915318";"-43.2853246";
"42085.941386";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";"-22.58915318";"-43.2853246";
"42086.0062388";"Voltagem do modulo OBD";"13.9";"V";"-22.58915318";"-43.2853246";
"42086.1720911";"Valor da carga calculada do motor";"38.03921568627451";"%";"-22.58915318";"-43.2853246";
"42086.2390494";"Temperatura do líquido de 
arrefecimento do motor";"84";"℃";"-22.58915318";"-43.2853246";
"42086.2914228";"Ajuste de combustível % a curto 
prazo - Banco 1";"-7.8125";"%";"-22.58915318";"-43.2853246";
"42086.3401102";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";"-22.58915318";"-43.2853246";
"42086.4043657";"Voltagem do modulo OBD";"13.7";"V";"-22.58915318";"-43.2853246";
"42086.568382";"Valor da carga calculada do motor";"29.41176470588235";"%";"-22.58915318";"-43.2853246";
"42086.6340972";"Ajuste de combustível % a curto 
prazo - Banco 1";"-3.90625";"%";"-22.58915318";"-43.2853246";
"42086.6893096";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";"-22.58915318";"-43.2853246";
"42086.7404116";"Voltagem do modulo OBD";"13.9";"V";"-22.58915318";"-43.2853246";
"42086.9148825";"Valor da carga calculada do motor";"23.137254901960784";"%";"-22.58915318";"-43.2853246";
"42086.9693797";"Temperatura do líquido de 
arrefecimento do motor";"84";"℃";"-22.58915318";"-43.2853246";
"42087.0322488";"Ajuste de combustível % a curto 
prazo - Banco 1";"0";"%";"-22.58915318";"-43.2853246";
"42087.0847821";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";"-22.58915318";"-43.2853246";
"42087.1396174";"Voltagem do modulo OBD";"13.9";"V";"-22.58915318";"-43.2853246";
"42087.1634359";"Altitude (GPS)";"17.73974609375";"m";"-22.58916127";"-43.28539122";
"42087.1634359";"Velocidade (GPS)";"22.319999313354494";"km/h";"-22.58916127";"-43.28539122";
"42087.1634359";"Velocidade média (GPS)";"13.073276741322367";"km/h";"-22.58916127";"-43.28539122";
"42087.4564438";"Valor da carga calculada do motor";"22.352941176470587";"%";"-22.58916127";"-43.28539122";
"42087.5110093";"Ajuste de combustível % a curto 
prazo - Banco 1";"4.6875";"%";"-22.58916127";"-43.28539122";
"42087.5653263";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";"-22.58916127";"-43.28539122";
"42087.6292905";"Voltagem do modulo OBD";"13.8";"V";"-22.58916127";"-43.28539122";
"42087.797959";"Valor da carga calculada do motor";"22.352941176470587";"%";"-22.58916127";"-43.28539122";
"42087.86137";"Temperatura do líquido de 
arrefecimento do motor";"84";"℃";"-22.58916127";"-43.28539122";
"42087.9113274";"Ajuste de combustível % a curto 
prazo - Banco 1";"0.78125";"%";"-22.58916127";"-43.28539122";
"42087.9646074";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";"-22.58916127";"-43.28539122";
"42088.028125";"Voltagem do modulo OBD";"13.8";"V";"-22.58916127";"-43.28539122";
"42088.1977894";"Valor da carga calculada do motor";"21.176470588235293";"%";"-22.58916127";"-43.28539122";
"42088.2524233";"Ajuste de combustível % a curto 
prazo - Banco 1";"3.125";"%";"-22.58916127";"-43.28539122";
"42088.304953";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";"-22.58916127";"-43.28539122";
"42088.3700493";"Voltagem do modulo OBD";"13.9";"V";"-22.58916127";"-43.28539122";
