"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"41073.615556";"Altitude (GPS)";"15.269287109375";"m";"-22.5891477";"-43.28515752";
"41073.615556";"Velocidade (GPS)";"0";"km/h";"-22.5891477";"-43.28515752";
"41074.4872219";"Altitude (GPS)";"16.1153564453125";"m";"-22.58914141";"-43.28515023";
"41074.4872219";"Velocidade (GPS)";"0.6120000064373017";"km/h";"-22.58914141";"-43.28515023";
"41074.4872219";"Velocidade média (GPS)";"0.6120000064373017";"km/h";"-22.58914141";"-43.28515023";
"41075.7428826";"Altitude (GPS)";"15.3028564453125";"m";"-22.58913692";"-43.28513526";
"41075.7428826";"Altitude (GPS)";"17.6240234375";"m";"-22.58913612";"-43.28513722";
"41075.7428826";"Altitude (GPS)";"17.83209228515625";"m";"-22.58914097";"-43.28514706";
"41075.7428826";"Altitude (GPS)";"17.3795166015625";"m";"-22.58914735";"-43.28515597";
"41075.7428826";"Velocidade (GPS)";"0";"km/h";"-22.58913692";"-43.28513526";
"41075.7428826";"Velocidade média (GPS)";"0.25074280409342764";"km/h";"-22.58913692";"-43.28513526";
"41080.7269207";"Altitude (GPS)";"16.7235107421875";"m";"-22.58915288";"-43.28518271";
"41080.7269207";"Velocidade (GPS)";"17.784000205993653";"km/h";"-22.58915288";"-43.28518271";
"41080.7269207";"Velocidade média (GPS)";"12.53923123033622";"km/h";"-22.58915288";"-43.28518271";
"41081.9815757";"Altitude (GPS)";"15.73394775390625";"m";"-22.58916111";"-43.28528084";
"41081.9815757";"Velocidade (GPS)";"21.70800075531006";"km/h";"-22.58916111";"-43.28528084";
"41081.9815757";"Velocidade média (GPS)";"13.914296361171909";"km/h";"-22.58916111";"-43.28528084";
"41083.2467341";"Altitude (GPS)";"15.96466064453125";"m";"-22.58917571";"-43.28537458";
"41083.2467341";"Velocidade (GPS)";"23.868000411987307";"km/h";"-22.58917571";"-43.28537458";
"41083.2467341";"Velocidade média (GPS)";"15.221840708088058";"km/h";"-22.58917571";"-43.28537458";
"41084.4911257";"Altitude (GPS)";"16.3465576171875";"m";"-22.58918545";"-43.28545983";
"41084.4911257";"Velocidade (GPS)";"25.452000617980957";"km/h";"-22.58918545";"-43.28545983";
"41084.4911257";"Velocidade média (GPS)";"16.392402412075594";"km/h";"-22.58918545";"-43.28545983";
"41085.7523696";"Altitude (GPS)";"16.677978515625";"m";"-22.5891932";"-43.28556758";
"41085.7523696";"Velocidade (GPS)";"29.016001510620118";"km/h";"-22.5891932";"-43.28556758";
"41085.7523696";"Velocidade média (GPS)";"17.704240974813338";"km/h";"-22.5891932";"-43.28556758";
"41086.979131";"Altitude (GPS)";"16.75567626953125";"m";"-22.58917415";"-43.28568256";
"41086.979131";"Velocidade (GPS)";"31.283998489379883";"km/h";"-22.58917415";"-43.28568256";
"41086.979131";"Velocidade média (GPS)";"18.950857709134564";"km/h";"-22.58917415";"-43.28568256";
"41088.2314648";"Altitude (GPS)";"16.43634033203125";"m";"-22.58914877";"-43.28578982";
"41088.2314648";"Velocidade (GPS)";"32.11200027465821";"km/h";"-22.58914877";"-43.28578982";
"41088.2314648";"Velocidade média (GPS)";"20.078562827943394";"km/h";"-22.58914877";"-43.28578982";
"41089.4867541";"Altitude (GPS)";"16.86700439453125";"m";"-22.58910556";"-43.28589269";
"41089.4867541";"Velocidade (GPS)";"30.887999725341796";"km/h";"-22.58910556";"-43.28589269";
"41089.4867541";"Velocidade média (GPS)";"20.933511252881555";"km/h";"-22.58910556";"-43.28589269";
"41090.7363552";"Altitude (GPS)";"16.99847412109375";"m";"-22.58905121";"-43.28598602";
"41090.7363552";"Velocidade (GPS)";"31.283998489379883";"km/h";"-22.58905121";"-43.28598602";
"41090.7363552";"Velocidade média (GPS)";"21.68897375211431";"km/h";"-22.58905121";"-43.28598602";
"41091.9856837";"Altitude (GPS)";"17.169677734375";"m";"-22.58897574";"-43.28605511";
"41091.9856837";"Velocidade (GPS)";"32.039998626708986";"km/h";"-22.58897574";"-43.28605511";
"41091.9856837";"Velocidade média (GPS)";"22.392936000573712";"km/h";"-22.58897574";"-43.28605511";
"41093.2575509";"Altitude (GPS)";"17.45208740234375";"m";"-22.58889087";"-43.28610151";
"41093.2575509";"Velocidade (GPS)";"30.960001373291018";"km/h";"-22.58889087";"-43.28610151";
"41093.2575509";"Velocidade média (GPS)";"22.94767712613921";"km/h";"-22.58889087";"-43.28610151";
"41094.5196102";"Altitude (GPS)";"18.08319091796875";"m";"-22.58879711";"-43.28612517";
"41094.5196102";"Velocidade (GPS)";"31.031999588012695";"km/h";"-22.58879711";"-43.28612517";
"41094.5196102";"Velocidade média (GPS)";"23.43576295737913";"km/h";"-22.58879711";"-43.28612517";
"41095.7531835";"Altitude (GPS)";"18.800048828125";"m";"-22.58870507";"-43.28612242";
"41095.7531835";"Velocidade (GPS)";"30.204001235961915";"km/h";"-22.58870507";"-43.28612242";
"41095.7531835";"Velocidade média (GPS)";"23.812911806825436";"km/h";"-22.58870507";"-43.28612242";
"41097.0108218";"Altitude (GPS)";"18.57415771484375";"m";"-22.58860527";"-43.28611735";
"41097.0108218";"Velocidade (GPS)";"31.283998489379883";"km/h";"-22.58860527";"-43.28611735";
"41097.0108218";"Velocidade média (GPS)";"24.21452957649091";"km/h";"-22.58860527";"-43.28611735";
"41098.2748566";"Altitude (GPS)";"18.430419921875";"m";"-22.58850945";"-43.28607241";
"41098.2748566";"Velocidade (GPS)";"32.2560001373291";"km/h";"-22.58850945";"-43.28607241";
"41098.2748566";"Velocidade média (GPS)";"24.626889062633502";"km/h";"-22.58850945";"-43.28607241";
"41099.5138606";"Altitude (GPS)";"18.496337890625";"m";"-22.58841427";"-43.28601487";
"41099.5138606";"Velocidade (GPS)";"33.66000137329102";"km/h";"-22.58841427";"-43.28601487";
"41099.5138606";"Velocidade média (GPS)";"25.058874518790844";"km/h";"-22.58841427";"-43.28601487";
"41100.7733094";"Altitude (GPS)";"17.198974609375";"m";"-22.58830758";"-43.28597026";
