"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"40571.4948062";"Altitude (GPS)";"15.8134765625";"m";"-22.58914386";"-43.28514453";
"40571.4948062";"Velocidade (GPS)";"14.43600082397461";"km/h";"-22.58914386";"-43.28514453";
"40572.7583806";"Altitude (GPS)";"15.2822265625";"m";"-22.58915346";"-43.28520527";
"40572.7583806";"Velocidade (GPS)";"16.163999176025392";"km/h";"-22.58915346";"-43.28520527";
"40572.7583806";"Velocidade média (GPS)";"16.163999176025392";"km/h";"-22.58915346";"-43.28520527";
"40574.0131549";"Altitude (GPS)";"14.997802734375";"m";"-22.58915663";"-43.28529976";
"40574.0131549";"Velocidade (GPS)";"17.459999656677248";"km/h";"-22.58915663";"-43.28529976";
"40574.0131549";"Velocidade média (GPS)";"16.809765115908316";"km/h";"-22.58915663";"-43.28529976";
"40575.2615025";"Altitude (GPS)";"15.618408203125";"m";"-22.58917052";"-43.2853766";
"40575.2615025";"Velocidade (GPS)";"18.540000343322756";"km/h";"-22.58917052";"-43.2853766";
"40575.2615025";"Velocidade média (GPS)";"17.383214234407973";"km/h";"-22.58917052";"-43.2853766";
"40576.5084783";"Altitude (GPS)";"15.765625";"m";"-22.58918484";"-43.28545768";
"40576.5084783";"Velocidade (GPS)";"21.384000205993654";"km/h";"-22.58918484";"-43.28545768";
"40576.5084783";"Velocidade média (GPS)";"18.37830034781453";"km/h";"-22.58918484";"-43.28545768";
"40577.7586756";"Altitude (GPS)";"16.47064208984375";"m";"-22.58917764";"-43.28554159";
"40577.7586756";"Velocidade (GPS)";"24.40800075531006";"km/h";"-22.58917764";"-43.28554159";
"40577.7586756";"Velocidade média (GPS)";"19.581782609732";"km/h";"-22.58917764";"-43.28554159";
"40578.9934813";"Altitude (GPS)";"14.27960205078125";"m";"-22.58918439";"-43.2856275";
"40578.9934813";"Velocidade (GPS)";"23.796000480651855";"km/h";"-22.58918439";"-43.2856275";
"40578.9934813";"Velocidade média (GPS)";"20.275749719410808";"km/h";"-22.58918439";"-43.2856275";
"40580.2180199";"Altitude (GPS)";"15.4951171875";"m";"-22.58918122";"-43.28571064";
"40580.2180199";"Velocidade (GPS)";"25.847999382019044";"km/h";"-22.58918122";"-43.28571064";
"40580.2180199";"Velocidade média (GPS)";"21.057976439227314";"km/h";"-22.58918122";"-43.28571064";
"40581.4725682";"Altitude (GPS)";"17.306640625";"m";"-22.58916233";"-43.28578894";
"40581.4725682";"Velocidade (GPS)";"24.984000205993652";"km/h";"-22.58916233";"-43.28578894";
"40581.4725682";"Velocidade média (GPS)";"21.551619217583433";"km/h";"-22.58916233";"-43.28578894";
"40582.7112189";"Altitude (GPS)";"15.7015380859375";"m";"-22.58912246";"-43.28587063";
"40582.7112189";"Velocidade (GPS)";"27.252000617980958";"km/h";"-22.58912246";"-43.28587063";
"40582.7112189";"Velocidade média (GPS)";"22.18113061774922";"km/h";"-22.58912246";"-43.28587063";
"40583.9682463";"Altitude (GPS)";"16.65716552734375";"m";"-22.58907154";"-43.28595163";
"40583.9682463";"Velocidade (GPS)";"27.93600082397461";"km/h";"-22.58907154";"-43.28595163";
"40583.9682463";"Velocidade média (GPS)";"22.76109091793842";"km/h";"-22.58907154";"-43.28595163";
"40585.2061532";"Altitude (GPS)";"17.33160400390625";"m";"-22.58900933";"-43.28601909";
"40585.2061532";"Velocidade (GPS)";"28.25999965667725";"km/h";"-22.58900933";"-43.28601909";
"40585.2061532";"Velocidade média (GPS)";"23.257554790393836";"km/h";"-22.58900933";"-43.28601909";
"40586.4567995";"Altitude (GPS)";"17.5872802734375";"m";"-22.58893062";"-43.28608081";
"40586.4567995";"Velocidade (GPS)";"28.296000480651855";"km/h";"-22.58893062";"-43.28608081";
"40586.4567995";"Velocidade média (GPS)";"23.67871028745243";"km/h";"-22.58893062";"-43.28608081";
"40587.6879833";"Altitude (GPS)";"17.21453857421875";"m";"-22.5888511";"-43.28612047";
"40587.6879833";"Velocidade (GPS)";"28.152000617980956";"km/h";"-22.5888511";"-43.28612047";
"40587.6879833";"Velocidade média (GPS)";"24.01882439498425";"km/h";"-22.5888511";"-43.28612047";
"40588.9449571";"Altitude (GPS)";"17.5509033203125";"m";"-22.58876008";"-43.28613799";
