"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"39855.402421";"Altitude (GPS)";"18.316650390625";"m";"-22.58915309";"-43.28515451";
"39855.402421";"Velocidade (GPS)";"13.42800006866455";"km/h";"-22.58915309";"-43.28515451";
"39856.6463314";"Altitude (GPS)";"16.80499267578125";"m";"-22.58915814";"-43.28522154";
"39856.6463314";"Velocidade (GPS)";"16.308000755310058";"km/h";"-22.58915814";"-43.28522154";
"39856.6463314";"Velocidade média (GPS)";"16.308000755310058";"km/h";"-22.58915814";"-43.28522154";
"39857.8726029";"Altitude (GPS)";"15.8883056640625";"m";"-22.5891615";"-43.28529805";
"39857.8726029";"Velocidade (GPS)";"19.043999862670898";"km/h";"-22.5891615";"-43.28529805";
"39857.8726029";"Velocidade média (GPS)";"17.666398017007854";"km/h";"-22.5891615";"-43.28529805";
"39859.1130972";"Altitude (GPS)";"16.37725830078125";"m";"-22.58917021";"-43.2853858";
"39859.1130972";"Velocidade (GPS)";"22.103999519348147";"km/h";"-22.58917021";"-43.2853858";
"39859.1130972";"Velocidade média (GPS)";"19.14964487657095";"km/h";"-22.58917021";"-43.2853858";
"39860.3761881";"Altitude (GPS)";"16.802490234375";"m";"-22.58917417";"-43.2854825";
"39860.3761881";"Velocidade (GPS)";"22.931999588012697";"km/h";"-22.58917417";"-43.2854825";
"39860.3761881";"Velocidade média (GPS)";"20.110207583982064";"km/h";"-22.58917417";"-43.2854825";
"39861.6302147";"Altitude (GPS)";"17.3931884765625";"m";"-22.58917438";"-43.28558169";
"39861.6302147";"Velocidade (GPS)";"26.17199993133545";"km/h";"-22.58917438";"-43.28558169";
"39861.6302147";"Velocidade média (GPS)";"21.3307865599526";"km/h";"-22.58917438";"-43.28558169";
"39862.8742958";"Altitude (GPS)";"16.6820068359375";"m";"-22.58916565";"-43.28568557";
"39862.8742958";"Velocidade (GPS)";"27.719999313354492";"km/h";"-22.58916565";"-43.28568557";
"39862.8742958";"Velocidade média (GPS)";"22.394604521946164";"km/h";"-22.58916565";"-43.28568557";
"39864.1155292";"Altitude (GPS)";"17.0555419921875";"m";"-22.58914356";"-43.28579058";
"39864.1155292";"Velocidade (GPS)";"27.756000137329103";"km/h";"-22.58914356";"-43.28579058";
"39864.1155292";"Velocidade média (GPS)";"23.158373940206218";"km/h";"-22.58914356";"-43.28579058";
"39865.3811645";"Altitude (GPS)";"17.70086669921875";"m";"-22.58909668";"-43.28588785";
"39865.3811645";"Velocidade (GPS)";"27.82800006866455";"km/h";"-22.58909668";"-43.28588785";
"39865.3811645";"Velocidade média (GPS)";"23.75064358875182";"km/h";"-22.58909668";"-43.28588785";
"39866.6311964";"Altitude (GPS)";"17.9622802734375";"m";"-22.58903661";"-43.28597258";
"39866.6311964";"Velocidade (GPS)";"29.77200164794922";"km/h";"-22.58903661";"-43.28597258";
"39866.6311964";"Velocidade média (GPS)";"24.42097012033967";"km/h";"-22.58903661";"-43.28597258";
"39867.8778607";"Altitude (GPS)";"17.53692626953125";"m";"-22.58896994";"-43.28603709";
"39867.8778607";"Velocidade (GPS)";"29.62799835205078";"km/h";"-22.58896994";"-43.28603709";
"39867.8778607";"Velocidade média (GPS)";"24.941307456611824";"km/h";"-22.58896994";"-43.28603709";
"39869.1255794";"Altitude (GPS)";"16.764892578125";"m";"-22.58889319";"-43.28608652";
"39869.1255794";"Velocidade (GPS)";"29.339998626708987";"km/h";"-22.58889319";"-43.28608652";
"39869.1255794";"Velocidade média (GPS)";"25.341239681456834";"km/h";"-22.58889319";"-43.28608652";
"39870.3680879";"Altitude (GPS)";"16.937255859375";"m";"-22.58880873";"-43.28612204";
"39870.3680879";"Velocidade (GPS)";"29.59200096130371";"km/h";"-22.58880873";"-43.28612204";
"39870.3680879";"Velocidade média (GPS)";"25.694157352649036";"km/h";"-22.58880873";"-43.28612204";
"39871.6160934";"Altitude (GPS)";"17.1619873046875";"m";"-22.58871582";"-43.28612424";
"39871.6160934";"Velocidade (GPS)";"30.70799903869629";"km/h";"-22.58871582";"-43.28612424";
"39871.6160934";"Velocidade média (GPS)";"26.08008700061359";"km/h";"-22.58871582";"-43.28612424";
"39872.8677703";"Altitude (GPS)";"16.90045166015625";"m";"-22.5886186";"-43.28610984";
"39872.8677703";"Velocidade (GPS)";"30.131999588012697";"km/h";"-22.5886186";"-43.28610984";
"39872.8677703";"Velocidade média (GPS)";"26.370485054490793";"km/h";"-22.5886186";"-43.28610984";
"39874.0961011";"Altitude (GPS)";"17.21160888671875";"m";"-22.58852441";"-43.2860682";
"39874.0961011";"Velocidade (GPS)";"31.860001373291016";"km/h";"-22.58852441";"-43.2860682";
"39874.0961011";"Velocidade média (GPS)";"26.73117870419647";"km/h";"-22.58852441";"-43.2860682";
"39875.3462748";"Altitude (GPS)";"17.77081298828125";"m";"-22.5884325";"-43.28603065";
"39875.3462748";"Velocidade (GPS)";"32.004001235961915";"km/h";"-22.5884325";"-43.28603065";
"39875.3462748";"Velocidade média (GPS)";"27.06170745572663";"km/h";"-22.5884325";"-43.28603065";
"39876.5842617";"Altitude (GPS)";"17.47540283203125";"m";"-22.58834688";"-43.28599271";
"39876.5842617";"Velocidade (GPS)";"29.124000549316406";"km/h";"-22.58834688";"-43.28599271";
"39876.5842617";"Velocidade média (GPS)";"27.182238535476827";"km/h";"-22.58834688";"-43.28599271";
"39877.4540979";"Altitude (GPS)";"17.4510498046875";"m";"-22.58915025";"-43.2851422";
"39877.4540979";"Altitude (GPS)";"17.47235107421875";"m";"-22.58914933";"-43.28514203";
"39877.4540979";"Altitude (GPS)";"17.70458984375";"m";"-22.58914908";"-43.28514171";
"39877.4540979";"Altitude (GPS)";"17.98046875";"m";"-22.58914831";"-43.28514237";
"39877.4540979";"Altitude (GPS)";"18.15362548828125";"m";"-22.58914821";"-43.2851422";
"39877.4540979";"Altitude (GPS)";"18.130126953125";"m";"-22.5891486";"-43.28514179";
"39877.4540979";"Altitude (GPS)";"18.24627685546875";"m";"-22.58914984";"-43.28514374";
"39877.4540979";"Altitude (GPS)";"18.27386474609375";"m";"-22.58915083";"-43.28514521";
"39877.4540979";"Altitude (GPS)";"18.4306640625";"m";"-22.58915218";"-43.28514578";
"39877.8531325";"Altitude (GPS)";"17.70904541015625";"m";"-22.58826264";"-43.28595471";
"39877.8531325";"Velocidade (GPS)";"29.268000411987305";"km/h";"-22.58826264";"-43.28595471";
"39877.8531325";"Velocidade média (GPS)";"27.30012218132996";"km/h";"-22.58826264";"-43.28595471";
"39879.0965515";"Altitude (GPS)";"17.8721923828125";"m";"-22.58818019";"-43.28590629";
"39879.0965515";"Velocidade (GPS)";"28.8";"km/h";"-22.58818019";"-43.28590629";
"39879.0965515";"Velocidade média (GPS)";"27.378832929068036";"km/h";"-22.58818019";"-43.28590629";
"39880.3332908";"Altitude (GPS)";"19.05596923828125";"m";"-22.58809599";"-43.28585731";
"39880.3332908";"Velocidade (GPS)";"29.62799835205078";"km/h";"-22.58809599";"-43.28585731";
"39880.3332908";"Velocidade média (GPS)";"27.490406926147866";"km/h";"-22.58809599";"-43.28585731";
"39881.5786574";"Altitude (GPS)";"19.716796875";"m";"-22.58801074";"-43.28581393";
"39881.5786574";"Velocidade (GPS)";"30.41999931335449";"km/h";"-22.58801074";"-43.28581393";
"39881.5786574";"Velocidade média (GPS)";"27.629786242475834";"km/h";"-22.58801074";"-43.28581393";
"39882.8402908";"Altitude (GPS)";"19.256103515625";"m";"-22.5879098";"-43.2857809";
"39882.8402908";"Velocidade (GPS)";"31.39200096130371";"km/h";"-22.5879098";"-43.2857809";
"39882.8402908";"Velocidade média (GPS)";"27.802777393004398";"km/h";"-22.5879098";"-43.2857809";
"39884.0913144";"Altitude (GPS)";"18.9605712890625";"m";"-22.58781488";"-43.28576352";
"39884.0913144";"Velocidade (GPS)";"30.060001373291016";"km/h";"-22.58781488";"-43.28576352";
"39884.0913144";"Velocidade média (GPS)";"27.901208099491157";"km/h";"-22.58781488";"-43.28576352";
"39885.3344823";"Altitude (GPS)";"18.7259521484375";"m";"-22.58770903";"-43.28576783";
"39885.3344823";"Velocidade (GPS)";"31.5";"km/h";"-22.58770903";"-43.28576783";
"39885.3344823";"Velocidade média (GPS)";"28.050676767313124";"km/h";"-22.58770903";"-43.28576783";
"39886.5705009";"Altitude (GPS)";"18.94171142578125";"m";"-22.58760456";"-43.28576975";
"39886.5705009";"Velocidade (GPS)";"33.012000274658206";"km/h";"-22.58760456";"-43.28576975";
"39886.5705009";"Velocidade média (GPS)";"28.24742661781505";"km/h";"-22.58760456";"-43.28576975";
"39887.8221097";"Altitude (GPS)";"18.426513671875";"m";"-22.5874964";"-43.28575718";
"39887.8221097";"Velocidade (GPS)";"34.16399917602539";"km/h";"-22.5874964";"-43.28575718";
"39887.8221097";"Velocidade média (GPS)";"28.475843858488442";"km/h";"-22.5874964";"-43.28575718";
"39889.0511214";"Altitude (GPS)";"18.0513916015625";"m";"-22.58740966";"-43.28573718";
"39889.0511214";"Velocidade (GPS)";"31.3560001373291";"km/h";"-22.58740966";"-43.28573718";
"39889.0511214";"Velocidade média (GPS)";"28.58104157362955";"km/h";"-22.58740966";"-43.28573718";
"39890.305006";"Altitude (GPS)";"17.74493408203125";"m";"-22.58732278";"-43.28570514";
"39890.305006";"Velocidade (GPS)";"29.519999313354493";"km/h";"-22.58732278";"-43.28570514";
"39890.305006";"Velocidade média (GPS)";"28.61477392838802";"km/h";"-22.58732278";"-43.28570514";
"39891.5472155";"Altitude (GPS)";"17.262451171875";"m";"-22.58722855";"-43.28567624";
"39891.5472155";"Velocidade (GPS)";"29.124000549316406";"km/h";"-22.58722855";"-43.28567624";
"39891.5472155";"Velocidade média (GPS)";"28.63227509415419";"km/h";"-22.58722855";"-43.28567624";
