"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"40126.3263729";"Altitude (GPS)";"19.63751220703125";"m";"-22.58915641";"-43.28513193";
"40126.3263729";"Altitude (GPS)";"19.60980224609375";"m";"-22.58915608";"-43.28513275";
"40126.3263729";"Altitude (GPS)";"19.11749267578125";"m";"-22.58915585";"-43.28513414";
"40126.3263729";"Altitude (GPS)";"19.53704833984375";"m";"-22.58915581";"-43.28513605";
"40132.4723807";"Altitude (GPS)";"20.03424072265625";"m";"-22.58915534";"-43.28515495";
"40132.4723807";"Velocidade (GPS)";"12.779999828338623";"km/h";"-22.58915534";"-43.28515495";
"40133.7078749";"Altitude (GPS)";"19.9271240234375";"m";"-22.58916834";"-43.28521678";
"40133.7078749";"Velocidade (GPS)";"16.956000137329102";"km/h";"-22.58916834";"-43.28521678";
"40133.7078749";"Velocidade média (GPS)";"16.956000137329102";"km/h";"-22.58916834";"-43.28521678";
"40134.9645025";"Altitude (GPS)";"18.75079345703125";"m";"-22.58916737";"-43.28527581";
"40134.9645025";"Velocidade (GPS)";"17.13600082397461";"km/h";"-22.58916737";"-43.28527581";
"40134.9645025";"Velocidade média (GPS)";"17.046767821404575";"km/h";"-22.58916737";"-43.28527581";
"40136.2175536";"Altitude (GPS)";"19.29913330078125";"m";"-22.58915699";"-43.28534145";
"40136.2175536";"Velocidade (GPS)";"16.91999931335449";"km/h";"-22.58915699";"-43.28534145";
"40136.2175536";"Velocidade média (GPS)";"17.004351388140165";"km/h";"-22.58915699";"-43.28534145";
"40137.4689531";"Altitude (GPS)";"19.92926025390625";"m";"-22.58917061";"-43.28540379";
"40137.4689531";"Velocidade (GPS)";"17.963999176025393";"km/h";"-22.58917061";"-43.28540379";
"40137.4689531";"Velocidade média (GPS)";"17.244691070324365";"km/h";"-22.58917061";"-43.28540379";
"40138.7303958";"Altitude (GPS)";"20.03240966796875";"m";"-22.58915804";"-43.28547499";
"40138.7303958";"Velocidade (GPS)";"21.70800075531006";"km/h";"-22.58915804";"-43.28547499";
"40138.7303958";"Velocidade média (GPS)";"18.14438762131638";"km/h";"-22.58915804";"-43.28547499";
"40139.9909952";"Altitude (GPS)";"19.022216796875";"m";"-22.58916115";"-43.28555279";
"40139.9909952";"Velocidade (GPS)";"22.968000411987305";"km/h";"-22.58916115";"-43.28555279";
"40139.9909952";"Velocidade média (GPS)";"18.95314731939919";"km/h";"-22.58916115";"-43.28555279";
"40141.2436549";"Altitude (GPS)";"17.06610107421875";"m";"-22.5891668";"-43.28563939";
"40141.2436549";"Velocidade (GPS)";"26.1";"km/h";"-22.5891668";"-43.28563939";
"40141.2436549";"Velocidade média (GPS)";"19.973825584352237";"km/h";"-22.5891668";"-43.28563939";
"40142.4911726";"Altitude (GPS)";"16.70452880859375";"m";"-22.58917621";"-43.28573116";
"40142.4911726";"Velocidade (GPS)";"26.568000411987306";"km/h";"-22.58917621";"-43.28573116";
"40142.4911726";"Velocidade média (GPS)";"20.79493000520049";"km/h";"-22.58917621";"-43.28573116";
"40143.736527";"Altitude (GPS)";"17.98333740234375";"m";"-22.5891554";"-43.28582419";
"40143.736527";"Velocidade (GPS)";"27.252000617980958";"km/h";"-22.5891554";"-43.28582419";
"40143.736527";"Velocidade média (GPS)";"21.508831505489713";"km/h";"-22.5891554";"-43.28582419";
"40144.9878932";"Altitude (GPS)";"18.006103515625";"m";"-22.58911492";"-43.28591156";
"40144.9878932";"Velocidade (GPS)";"30.383998489379884";"km/h";"-22.58911492";"-43.28591156";
"40144.9878932";"Velocidade média (GPS)";"22.39621687115408";"km/h";"-22.58911492";"-43.28591156";
"40146.2409035";"Altitude (GPS)";"18.45526123046875";"m";"-22.58904682";"-43.28599779";
"40146.2409035";"Velocidade (GPS)";"32.004001235961915";"km/h";"-22.58904682";"-43.28599779";
"40146.2409035";"Velocidade média (GPS)";"23.270581619034004";"km/h";"-22.58904682";"-43.28599779";
"40147.4958311";"Altitude (GPS)";"18.09930419921875";"m";"-22.58896284";"-43.28606275";
"40147.4958311";"Velocidade (GPS)";"30.67200164794922";"km/h";"-22.58896284";"-43.28606275";
"40147.4958311";"Velocidade média (GPS)";"23.888835451841917";"km/h";"-22.58896284";"-43.28606275";
"40148.7423918";"Altitude (GPS)";"18.09674072265625";"m";"-22.58888051";"-43.28611506";
"40148.7423918";"Velocidade (GPS)";"28.87200164794922";"km/h";"-22.58888051";"-43.28611506";
"40148.7423918";"Velocidade média (GPS)";"24.27063424161524";"km/h";"-22.58888051";"-43.28611506";
"40149.9775787";"Altitude (GPS)";"17.890625";"m";"-22.58878522";"-43.28613414";
"40149.9775787";"Velocidade (GPS)";"30.348001098632814";"km/h";"-22.58878522";"-43.28613414";
"40149.9775787";"Velocidade média (GPS)";"24.699464310506468";"km/h";"-22.58878522";"-43.28613414";
"40151.212006";"Altitude (GPS)";"17.6937255859375";"m";"-22.58869027";"-43.28612404";
"40151.212006";"Velocidade (GPS)";"30.204001235961915";"km/h";"-22.58869027";"-43.28612404";
"40151.212006";"Velocidade média (GPS)";"25.062066160934446";"km/h";"-22.58869027";"-43.28612404";
"40152.453033";"Altitude (GPS)";"18.64080810546875";"m";"-22.58859355";"-43.28610021";
"40152.453033";"Velocidade (GPS)";"31.751998901367188";"km/h";"-22.58859355";"-43.28610021";
"40152.453033";"Velocidade média (GPS)";"25.47758772317916";"km/h";"-22.58859355";"-43.28610021";
"40153.6823946";"Altitude (GPS)";"18.94354248046875";"m";"-22.58849825";"-43.28606966";
"40153.6823946";"Velocidade (GPS)";"30.960001373291018";"km/h";"-22.58849825";"-43.28606966";
"40153.6823946";"Velocidade média (GPS)";"25.795359502881865";"km/h";"-22.58849825";"-43.28606966";
"40154.9194457";"Altitude (GPS)";"18.83892822265625";"m";"-22.5884047";"-43.28603163";
"40154.9194457";"Velocidade (GPS)";"31.968000411987305";"km/h";"-22.5884047";"-43.28603163";
